"product_name","url","origin_price","current_price"
"CBD Kief (1.5 grams)","https://cbdhemp.direct/products/cbd-kief-1-5-grams","$10.99 – $12.99","$10.99 – $12.99"
"CBD Joint (1 Gram)","https://cbdhemp.direct/products/cbd-flower-joints-1-gram","$5.49 – $9.99","$5.49 – $9.99"
"CBD Isolate (5 – 50 G) – 99.3% CBD, 0% THC","https://cbdhemp.direct/products/cbd-isolate-for-sale","$22.99 – $149.99","$22.99 – $149.99"
"CBD Hot Sauce","https://cbdhemp.direct/products/cbd-hot-sauce","$8.99 – $17.99","$8.99 – $17.99"
"CBD Hash (1.5 grams)","https://cbdhemp.direct/products/cbd-hash-1-5-grams","$24.99","$13.99"
"CBD Hand Sanitizer","https://cbdhemp.direct/products/cbd-hand-sanitizer","$7.99","$5.99"
"CBD Cigar – Paradise OG (600 MG CBD)","https://cbdhemp.direct/products/paradise-og-cbd-flower-cigar-600-mg-cbd","$11.99","$11.99"
"CBD Blunt – Paradise OG | 200 MG CBD","https://cbdhemp.direct/products/paradise-og-cbd-flower-blunt-1-gram-200-mg-cbd","$12.99","$9.99"
"CBD + CBG Kief Joint (1 Gram)","https://cbdhemp.direct/products/cbd-kief-joints-1-gram","$8.49 – $30.49","$8.49 – $30.49"
"Cannabinoid Combo | THC-P + Delta-8 Flower","https://cbdhemp.direct/products/d8-thc-p-flower","$33.99 – $139.99","$33.99 – $139.99"
"Bulk Delta-8 Flower (1/4 LB)","https://cbdhemp.direct/products/bulk-delta-8-flower","$149.99","$89.99"
"Machine Trimmed CBG Flower","https://cbdhemp.direct/products/hawaiian-haze-1-4-lb-machine-trimmed","$32.99 – $50.99","$32.99 – $50.99"
"1/4 LB Double Dosed Bulk Delta 8 Bud","https://cbdhemp.direct/products/double-dosed-bulk-delta-flower","$84.99 – $89.99","$84.99 – $89.99"
"1/4 LB Bulk CBD Flower for $49","https://cbdhemp.direct/products/bulk-cbd-flower-for-49-dollars","$69.99","$49.99"
"1/4 LB Bulk CBD Flower for $39","https://cbdhemp.direct/products/quarter-pound-bulk-cbd-hemp-flower-for-sale","$69.99","$39.99"
"1 OZ Delta 8 THC “B” Buds for $29","https://cbdhemp.direct/products/1-oz-delta-8-thc-b-buds-for-29-dollars","$39.99","$29.99"
"1 OZ Delta 10 THC Hemp Flower Trim for $20 | 2 STRAINS AVAILABLE","https://cbdhemp.direct/products/1-oz-delta-10-thc-hemp-flower-trim-for-20-2-strains-available","$19.99 – $36.99","$19.99 – $36.99"
"$4.00 CBD + CBG Joint (1 Gram) + Bundles","https://cbdhemp.direct/products/4-dollar-cbd-cbg-flower-pre-roll-joints","$3.00 – $9.49","$3.00 – $9.49"
"$2.50 Grams – CBD + CBG Kief","https://cbdhemp.direct/products/cbd-sale-10-grams-cbd-cbg-hemp-kief","$25.00 – $44.99","$25.00 – $44.99"
"THCA Thai Stick","https://cbdhemp.direct/products/thca-thai-stick","$64.99 – $114.99","$64.99 – $114.99"
"Delta-10 Moon Rocks – GIRL SCOUT COOKIES | 510 MG/G D10-THC","https://cbdhemp.direct/products/delta-10-moon-rocks-510-mg-g-%ce%b410-thc-girl-scout-cookies-strain","$12.99 – $119.99","$12.99 – $119.99"
"THCa Flower – Zoap","https://cbdhemp.direct/products/thca-flower-zoap","$35.99 – $193.49","$35.99 – $193.49"
"Double Dosed Delta 8 Shake","https://cbdhemp.direct/products/double-dosed-delta-8-shake","$19.99","$19.99"
"THCa Flower – Gobstoppers","https://cbdhemp.direct/products/thca-flower-gobstoppers","$35.99 – $193.49","$35.99 – $193.49"
"THCa Flower – Tokyo OG","https://cbdhemp.direct/products/thca-flower-tokyo-og","$32.99 – $187.49","$32.99 – $187.49"
"THCa Flower – Sour Bubblegum","https://cbdhemp.direct/products/thca-flower-sour-bubblegum","$32.99 – $187.49","$32.99 – $187.49"
"THCa Flower – Donny","https://cbdhemp.direct/products/thca-flower-donny","$25.19 – $152.99","$25.19 – $152.99"
"THCa Flower – Terple","https://cbdhemp.direct/products/thca-flower-terple","$35.99 – $193.49","$35.99 – $193.49"
"THCa Flower – AK47","https://cbdhemp.direct/products/thca-flower-ak47","$25.19 – $152.99","$25.19 – $152.99"
"Bulk THCa Flower – Sour Diesel","https://cbdhemp.direct/products/bulk-thca-flower-sour-diesel","$29.99 – $339.99","$29.99 – $339.99"
"THCa Isolate (1G – 10G)","https://cbdhemp.direct/products/thca-isolate-1g-10g","$24.99 – $199.99","$24.99 – $199.99"
"Delta 8 Hemp Flower Small Buds (10 G) – 4 STRAINS AVAILABLE!","https://cbdhemp.direct/products/delta-8-hemp-flower-small-buds-10-grams","$21.99","$19.99"
"THCa Flower – Super Mochi","https://cbdhemp.direct/products/thca-flower-super-mochi","$35.99 – $193.49","$35.99 – $193.49"
"THCa Flower – Rainbow Sherbert #11","https://cbdhemp.direct/products/rainbow-sherbert-11-thca-flower","$35.99 – $193.49","$35.99 – $193.49"
"THCa Flower – Platinum OG","https://cbdhemp.direct/products/platinum-og-thca-flower","$35.99 – $193.49","$35.99 – $193.49"
"THCa Flower – Pineapple Grape","https://cbdhemp.direct/products/pineapple-grape-thca-flower","$25.19 – $152.99","$25.19 – $152.99"
"THCa Flower – Mod Zkittlez","https://cbdhemp.direct/products/mod-zkittlez-thca-flower","$35.99 – $193.49","$35.99 – $193.49"
"THCa Flower – Airheadz","https://cbdhemp.direct/products/airheadz-thca-flower","$35.99 – $193.49","$35.99 – $193.49"
"Gift Card","https://cbdhemp.direct/products/gift-card","$10.00 – $500.00","$10.00 – $500.00"
"DOUBLE DOSED DELTA 8 KIEF NUGS","https://cbdhemp.direct/products/double-dosed-delta-8-kief-nugs","$89.99 – $279.96","$89.99 – $279.96"
"Delta-8 Flower (Indoor Grown)","https://cbdhemp.direct/products/indoor-delta-8-flower","$7.99 – $99.99","$7.99 – $99.99"
"Coco Nugz – Delta-8 Chocolates 1/4 LB","https://cbdhemp.direct/products/delta-8-chocolate-crispies","$59.99","$59.99"
"Delta 8 Kief Nugs – 80 MG CBD | 290 MG D8 THC – PINEAPPLE EXPRESS SATIVA STRAIN","https://cbdhemp.direct/products/delta-8-thc-kief-nugs-pineapple-express-strain","$24.99 – $109.99","$24.99 – $109.99"
"Delta 8 Kief Nugs – 80 MG CBD | 290 MG D8 THC – BUBBAS TRUCK STOP INDICA STRAIN","https://cbdhemp.direct/products/delta-8-thc-kief-nugs-bubbas-truck-stop-indica","$24.99 – $109.99","$24.99 – $109.99"
"Cannabinoid Combo | HHC + Delta-8 Infused Hemp Flower","https://cbdhemp.direct/products/cannabinoid-combo-hhc-and-delta-8-infused-hemp-flower","$29.99 – $124.99","$29.99 – $124.99"
